Draw,Date,1,2,3,4,5,6,Bonus,Bonus 2nd,Powerball
1,1987-08-01,4,29,16,40,8,32,30,,
2,1987-08-08,3,9,39,13,36,20,38,,
3,1987-08-15,11,26,18,39,22,5,38,,
4,1987-08-22,35,2,29,10,4,11,14,,
5,1987-08-29,23,7,3,8,12,11,15,,
6,1987-09-05,12,20,17,39,31,1,4,,
7,1987-09-12,14,1,34,23,5,28,10,,
8,1987-09-19,13,17,26,38,8,37,19,,
9,1987-09-26,15,2,32,27,4,9,37,,
10,1987-10-03,19,20,11,4,28,18,2,,
11,1987-10-10,36,12,20,39,15,11,5,,
12,1987-10-17,18,9,31,21,6,37,33,,
13,1987-10-24,37,5,27,3,30,15,28,,
14,1987-10-31,39,30,20,23,28,26,1,,
15,1987-11-07,37,29,18,23,17,32,8,,
16,1987-11-14,35,7,20,37,36,31,6,,
17,1987-11-21,39,18,27,30,6,17,7,,
18,1987-11-28,1,34,15,18,33,28,5,,
19,1987-12-05,24,40,32,10,7,34,18,,
20,1987-12-12,29,9,8,32,5,18,6,,
21,1987-12-19,38,5,17,37,15,20,18,,
22,1987-12-26,18,9,25,39,29,38,40,,
23,1988-01-02,40,38,26,13,17,27,36,,
24,1988-01-09,35,31,9,22,34,12,24,,
25,1988-01-16,12,16,34,29,8,5,2,,
26,1988-01-23,7,15,24,38,27,39,19,,
27,1988-01-30,14,28,7,29,3,5,25,,
28,1988-02-06,23,13,10,3,15,33,6,,
29,1988-02-13,21,24,32,22,25,31,15,,
30,1988-02-20,35,39,40,37,15,6,8,,
31,1988-02-27,14,34,10,17,11,5,32,,
32,1988-03-05,32,20,24,30,16,33,8,,
33,1988-03-12,19,39,7,14,3,24,37,,
34,1988-03-19,2,7,18,20,40,12,17,,
35,1988-03-26,1,20,8,39,27,30,21,,
36,1988-04-02,34,22,5,31,11,27,7,,
37,1988-04-09,39,21,2,8,6,23,14,,
38,1988-04-16,29,14,8,38,13,39,5,,
39,1988-04-23,7,17,11,19,37,36,8,,
40,1988-04-30,20,27,30,3,2,24,31,,
41,1988-05-07,2,3,11,12,34,25,39,,
42,1988-05-14,40,29,31,8,14,24,32,,
43,1988-05-21,28,9,14,36,17,37,8,,
44,1988-05-28,4,7,12,9,33,31,30,,
45,1988-06-04,30,13,8,2,24,31,1,,
46,1988-06-11,34,9,10,11,14,6,30,,
47,1988-06-18,20,32,23,21,22,34,29,,
48,1988-06-25,37,29,14,21,38,30,12,,
49,1988-07-02,9,29,13,25,22,4,36,,
50,1988-07-09,24,37,13,15,33,28,32,,
51,1988-07-16,36,19,35,11,27,24,40,,
52,1988-07-23,4,35,33,24,30,8,2,,
53,1988-07-30,22,34,18,32,25,21,17,,
54,1988-08-06,1,39,29,16,22,40,33,,
55,1988-08-13,31,38,16,20,11,23,4,,
56,1988-08-20,12,6,5,27,9,29,33,,
57,1988-08-27,16,13,7,18,22,37,11,,
58,1988-09-03,29,12,3,23,37,11,39,,
59,1988-09-10,36,12,9,5,40,10,21,,
60,1988-09-17,5,34,36,32,8,23,14,,
61,1988-09-24,21,8,1,36,2,12,38,,
62,1988-10-01,23,28,3,2,18,20,25,,
63,1988-10-08,30,27,22,39,34,19,36,,
64,1988-10-15,39,1,25,22,27,37,29,,
65,1988-10-22,38,16,30,6,9,32,13,,
66,1988-10-29,22,40,17,38,19,26,11,,
67,1988-11-05,13,36,9,29,27,19,22,,
68,1988-11-12,6,12,9,38,39,31,26,,
69,1988-11-19,14,25,10,17,38,36,5,,
70,1988-11-26,30,23,21,32,29,7,25,,
71,1988-12-03,40,2,3,30,35,25,14,,
72,1988-12-10,21,39,20,40,22,17,36,,
73,1988-12-17,5,34,16,20,15,6,36,,
74,1988-12-24,12,39,1,35,37,34,19,,
75,1988-12-31,28,6,9,1,15,17,40,,
76,1989-01-07,27,26,21,5,36,10,22,,
77,1989-01-14,13,20,4,28,16,18,6,,
78,1989-01-21,18,22,31,25,35,37,16,,
79,1989-01-28,19,17,35,10,21,26,25,,
80,1989-02-04,23,21,24,5,8,28,30,,
81,1989-02-11,2,38,30,1,29,3,23,,
82,1989-02-18,10,3,23,38,8,4,16,,
83,1989-02-25,37,27,17,7,33,10,23,,
84,1989-03-04,31,6,1,17,16,33,19,,
85,1989-03-11,40,6,37,33,22,1,20,,
86,1989-03-18,4,5,18,29,27,11,9,,
87,1989-03-25,25,11,37,29,38,33,18,,
88,1989-04-01,4,31,3,16,33,36,14,,
89,1989-04-08,17,27,10,38,16,29,13,,
90,1989-04-15,6,28,2,13,24,18,36,,
91,1989-04-22,34,35,18,5,25,38,32,,
92,1989-04-29,26,4,19,2,28,35,37,,
93,1989-05-06,38,30,35,36,6,7,31,,
94,1989-05-13,35,4,12,33,19,26,14,,
95,1989-05-20,3,23,34,14,11,12,35,,
96,1989-05-27,38,32,21,27,11,2,35,,
97,1989-06-03,14,18,29,23,24,16,6,,
98,1989-06-10,40,26,30,1,12,9,36,,
99,1989-06-17,3,15,16,31,21,14,20,,
100,1989-06-24,30,14,9,24,18,29,7,,
101,1989-07-01,21,6,36,37,11,12,10,,
102,1989-07-08,4,19,6,18,37,39,36,,
103,1989-07-15,24,33,6,30,2,9,8,,
104,1989-07-22,34,17,40,14,26,7,8,,
105,1989-07-29,27,11,25,39,31,15,38,,
106,1989-08-05,14,22,10,27,4,29,7,,
107,1989-08-12,25,15,6,12,35,27,28,,
108,1989-08-19,18,10,30,19,35,34,6,,
109,1989-08-26,21,5,2,32,37,16,39,,
110,1989-09-02,1,31,39,36,23,35,18,,
111,1989-09-09,25,24,18,29,16,19,26,,
112,1989-09-16,39,36,21,35,22,14,29,,
113,1989-09-23,18,2,35,33,6,36,1,,
114,1989-09-30,40,7,2,16,27,21,22,,
115,1989-10-07,18,27,7,30,14,13,40,,
116,1989-10-14,11,29,34,14,8,12,16,,
117,1989-10-21,5,19,39,1,9,31,17,,
118,1989-10-28,37,9,30,1,27,33,17,,
119,1989-11-04,33,28,23,12,34,17,8,,
120,1989-11-11,26,6,13,19,34,39,4,,
121,1989-11-18,29,26,6,27,8,13,2,,
122,1989-11-25,26,20,11,1,40,13,9,,
123,1989-12-02,36,5,23,26,33,20,40,,
124,1989-12-09,33,15,14,11,40,1,39,,
125,1989-12-16,18,32,15,17,19,26,24,,
126,1989-12-23,32,3,38,25,14,28,10,,
127,1989-12-30,3,10,7,27,26,39,31,,
128,1990-01-06,1,27,13,19,3,6,2,,
129,1990-01-13,5,35,26,25,30,17,33,,
130,1990-01-20,22,11,8,3,12,19,2,,
131,1990-01-27,39,18,40,32,3,2,21,,
132,1990-02-03,25,39,21,13,31,37,27,,
133,1990-02-10,12,5,8,26,16,1,20,,
134,1990-02-17,21,26,11,33,2,35,22,,
135,1990-02-24,23,19,6,13,38,8,33,,
136,1990-03-03,12,32,35,14,33,36,28,,
137,1990-03-10,31,13,4,16,2,8,32,,
138,1990-03-17,1,18,29,40,25,7,30,,
139,1990-03-24,35,13,21,16,22,30,27,,
140,1990-03-31,8,40,27,30,37,12,38,,
141,1990-04-07,32,19,18,4,28,6,24,,
142,1990-04-14,24,7,4,35,18,29,12,,
143,1990-04-21,34,37,3,16,18,2,6,,
144,1990-04-28,14,37,8,36,1,10,22,,
145,1990-05-05,26,28,12,17,22,7,13,,
146,1990-05-12,4,40,21,6,33,16,32,,
147,1990-05-19,3,11,25,26,35,38,17,,
148,1990-05-26,31,35,33,12,28,8,7,,
149,1990-06-02,17,10,31,4,23,5,12,,
150,1990-06-09,22,18,12,15,27,20,21,,
151,1990-06-16,24,29,6,7,35,22,21,,
152,1990-06-23,10,33,14,2,24,7,12,,
153,1990-06-30,29,31,28,40,38,2,22,,
154,1990-07-07,40,10,20,38,33,36,16,,
155,1990-07-14,4,29,7,37,18,9,40,,
156,1990-07-21,8,22,4,18,10,21,28,,
157,1990-07-28,26,28,39,36,25,17,7,,
158,1990-08-04,11,27,22,35,29,19,37,,
159,1990-08-11,8,29,21,37,34,24,27,,
160,1990-08-18,18,35,13,20,25,27,34,,
161,1990-08-25,25,35,5,12,4,14,1,,
162,1990-09-01,22,26,10,40,36,35,14,,
163,1990-09-08,8,25,38,24,9,17,31,,
164,1990-09-15,30,38,1,10,40,15,16,,
165,1990-09-22,10,32,2,40,3,18,12,,
166,1990-09-29,14,1,24,37,17,18,29,,
167,1990-10-06,32,24,10,4,2,17,37,,
168,1990-10-13,14,4,32,9,2,28,21,,
169,1990-10-20,5,18,20,24,1,33,25,,
170,1990-10-27,35,37,28,30,21,33,11,,
171,1990-11-03,3,1,6,32,11,24,8,,
172,1990-11-10,32,29,16,37,24,22,27,,
173,1990-11-17,40,14,7,2,22,11,24,,
174,1990-11-24,17,25,36,14,18,2,20,,
175,1990-12-01,39,12,33,35,27,19,23,,
176,1990-12-08,7,14,8,1,37,25,9,,
177,1990-12-15,21,15,9,6,18,16,35,,
178,1990-12-22,4,26,3,20,15,18,28,,
179,1990-12-29,35,26,15,6,11,18,24,,
180,1991-01-05,9,13,24,4,31,11,26,,
181,1991-01-12,16,12,13,28,24,22,1,,
182,1991-01-19,30,24,15,19,3,14,2,,
183,1991-01-26,30,39,40,15,23,37,36,,
184,1991-02-02,11,16,8,26,15,21,33,,
185,1991-02-09,28,20,33,34,22,18,7,,
186,1991-02-16,22,20,30,1,8,38,40,,
187,1991-02-23,38,40,9,25,31,6,3,,
188,1991-03-02,5,37,39,28,1,7,15,,
189,1991-03-09,16,22,26,19,23,18,27,,
190,1991-03-16,27,37,32,22,13,29,2,,
191,1991-03-23,16,11,40,34,5,2,18,,
192,1991-03-30,23,26,13,31,36,20,22,,
193,1991-04-06,22,9,1,32,26,10,40,,
194,1991-04-13,1,14,30,39,29,7,17,,
195,1991-04-20,27,36,14,7,30,15,39,,
196,1991-04-27,32,6,39,16,4,24,40,,
197,1991-05-04,30,17,36,12,22,8,3,,
198,1991-05-11,24,1,6,16,39,38,5,,
199,1991-05-18,32,37,18,26,38,1,40,,
200,1991-05-25,29,24,13,1,34,26,6,,
201,1991-06-01,11,16,5,28,29,30,37,,
202,1991-06-08,3,34,15,38,8,29,26,,
203,1991-06-15,26,10,3,30,25,24,12,,
204,1991-06-22,19,15,34,11,24,29,18,,
205,1991-06-29,22,28,5,38,34,39,13,,
206,1991-07-06,25,21,23,33,35,38,10,,
207,1991-07-13,3,2,6,14,1,30,7,,
208,1991-07-20,34,18,5,32,9,15,29,,
209,1991-07-27,31,32,1,18,33,23,36,,
210,1991-08-03,17,37,12,22,33,30,7,,
211,1991-08-10,16,27,29,2,6,12,32,,
212,1991-08-17,31,1,8,30,29,12,14,,
213,1991-08-24,20,7,17,28,5,39,38,,
214,1991-08-31,29,34,36,25,7,16,3,,
215,1991-09-07,10,27,37,7,34,12,31,,
216,1991-09-14,2,25,26,4,36,39,24,,
217,1991-09-21,17,27,21,40,12,23,34,,
218,1991-09-28,36,12,7,11,26,14,24,,
219,1991-10-05,6,12,1,15,35,36,4,,
220,1991-10-12,34,22,30,16,11,3,37,,
221,1991-10-19,11,27,12,13,8,3,20,,
222,1991-10-26,7,37,22,36,11,21,17,,
223,1991-11-02,22,17,7,4,40,32,20,,
224,1991-11-09,28,34,5,13,15,39,25,,
225,1991-11-16,13,21,22,18,27,16,30,,
226,1991-11-23,15,5,36,40,32,10,27,,
227,1991-11-30,20,6,19,26,8,7,15,,
228,1991-12-07,39,33,27,20,30,17,1,,
229,1991-12-14,16,37,29,24,3,10,32,,
230,1991-12-21,10,5,1,16,40,38,6,,
231,1991-12-28,25,5,1,13,21,10,26,,
232,1992-01-04,1,20,36,13,25,31,3,,
233,1992-01-11,37,23,19,8,12,15,34,,
234,1992-01-18,14,17,37,6,27,38,23,,
235,1992-01-25,28,25,38,17,24,12,9,,
236,1992-02-01,35,20,26,28,5,15,11,,
237,1992-02-08,20,5,13,22,14,36,38,,
238,1992-02-15,39,1,40,9,20,37,12,,
239,1992-02-22,3,22,27,38,2,40,13,,
240,1992-02-29,39,8,17,36,7,28,12,,
241,1992-03-07,20,35,1,33,5,27,31,,
242,1992-03-14,40,38,6,34,32,36,19,,
243,1992-03-21,6,25,33,27,8,1,37,,
244,1992-03-28,20,7,14,19,32,11,36,,
245,1992-04-04,17,3,8,26,25,38,9,,
246,1992-04-11,26,10,9,13,39,22,17,,
247,1992-04-18,27,38,12,35,25,17,9,,
248,1992-04-25,4,28,15,3,20,37,7,,
249,1992-05-02,24,5,8,40,35,38,11,,
250,1992-05-09,40,10,18,1,35,20,14,,
251,1992-05-16,16,37,15,21,8,35,2,,
252,1992-05-23,24,2,9,3,25,22,30,,
253,1992-05-30,7,21,32,4,36,6,2,,
254,1992-06-06,8,7,37,34,21,11,18,,
255,1992-06-13,25,13,28,4,5,18,2,,
256,1992-06-20,16,38,28,34,12,20,29,,
257,1992-06-27,15,5,17,26,34,4,6,,
258,1992-07-04,8,13,16,9,4,32,27,,
259,1992-07-11,29,39,15,30,40,23,8,,
260,1992-07-18,13,15,38,2,40,8,16,,
261,1992-07-25,16,28,13,6,36,12,22,,
262,1992-08-01,39,19,7,28,5,18,9,,
263,1992-08-08,2,32,8,31,30,5,26,,
264,1992-08-15,24,4,29,14,5,17,35,,
265,1992-08-22,24,32,31,14,17,10,37,,
266,1992-08-29,23,35,19,14,29,3,4,,
267,1992-09-05,24,26,32,16,10,22,28,,
268,1992-09-12,37,24,16,27,30,21,22,,
269,1992-09-19,39,37,21,3,26,12,29,,
270,1992-09-26,40,38,9,30,1,10,39,,
271,1992-10-03,5,22,25,7,31,38,2,,
272,1992-10-10,11,12,21,17,39,33,10,,
273,1992-10-17,13,28,23,6,18,34,14,,
274,1992-10-24,6,17,24,1,5,10,9,,
275,1992-10-31,24,22,3,13,7,38,14,,
276,1992-11-07,1,22,33,2,25,18,11,,
277,1992-11-14,5,22,25,3,1,37,36,,
278,1992-11-21,7,33,19,38,34,37,13,,
279,1992-11-28,15,6,14,11,27,36,20,,
280,1992-12-05,38,4,35,23,16,14,13,,
281,1992-12-12,3,25,6,16,38,5,31,,
282,1992-12-19,35,17,3,34,38,29,40,,
283,1992-12-26,10,29,19,24,16,33,30,,
284,1993-01-02,22,38,2,21,14,24,10,,
285,1993-01-09,19,5,29,31,12,28,38,,
286,1993-01-16,3,2,14,7,8,26,31,,
287,1993-01-23,21,1,29,15,22,12,24,,
288,1993-01-30,39,35,12,13,8,6,21,,
289,1993-02-06,38,19,28,1,7,23,10,,
290,1993-02-13,4,6,3,10,19,38,16,,
291,1993-02-20,30,4,28,9,12,36,35,,
292,1993-02-27,17,32,25,30,38,20,39,,
293,1993-03-06,15,31,3,5,40,17,9,,
294,1993-03-13,9,5,31,27,19,25,22,,
295,1993-03-20,32,26,3,39,24,28,35,,
296,1993-03-27,28,6,26,15,7,33,30,,
297,1993-04-03,7,36,8,1,31,4,18,,
298,1993-04-10,12,24,27,28,33,36,4,,
299,1993-04-17,6,8,9,21,28,34,15,,
300,1993-04-24,12,18,26,27,28,37,24,,
301,1993-05-01,5,8,21,23,25,31,9,,
302,1993-05-08,4,11,18,35,37,39,36,,
303,1993-05-15,7,8,19,36,39,40,4,,
304,1993-05-22,2,10,13,14,30,31,12,,
305,1993-05-29,7,11,13,14,22,36,18,,
306,1993-06-05,6,31,34,35,36,37,33,,
307,1993-06-12,7,12,14,16,22,34,5,,
308,1993-06-19,2,15,21,28,32,36,24,,
309,1993-06-26,4,5,20,26,27,31,34,,
310,1993-07-03,6,13,15,18,27,29,8,,
311,1993-07-10,2,13,16,21,37,39,32,,
312,1993-07-17,9,18,20,25,36,39,22,,
313,1993-07-24,12,13,14,16,17,23,38,,
314,1993-07-31,10,15,24,33,37,40,5,,
315,1993-08-07,1,12,19,24,26,32,10,,
316,1993-08-14,3,4,5,19,20,23,7,,
317,1993-08-21,1,7,10,15,20,35,29,,
318,1993-08-28,1,9,11,23,26,34,18,,
319,1993-09-04,9,11,22,34,35,40,20,,
320,1993-09-11,31,32,33,35,36,38,11,,
321,1993-09-18,1,4,12,21,30,32,14,,
322,1993-09-25,12,16,18,21,29,40,19,,
323,1993-10-02,3,8,15,19,25,30,11,,
324,1993-10-09,4,7,13,31,33,34,14,,
325,1993-10-16,2,7,20,26,28,30,23,,
326,1993-10-23,3,7,21,31,33,35,12,,
327,1993-10-30,3,21,23,24,27,28,29,,
328,1993-11-06,2,6,16,20,26,33,15,,
329,1993-11-13,3,4,18,20,26,31,13,,
330,1993-11-20,7,12,13,14,21,24,9,,
331,1993-11-27,5,8,15,22,30,34,31,,
332,1993-12-04,4,10,20,21,32,34,6,,
333,1993-12-11,8,14,20,29,36,39,35,,
334,1993-12-18,1,7,10,20,34,40,16,,
335,1993-12-25,6,14,33,34,36,38,19,,
336,1994-01-01,1,21,32,34,38,40,16,,
337,1994-01-08,6,13,15,20,30,38,16,,
338,1994-01-15,2,4,8,14,33,38,36,,
339,1994-01-22,5,15,22,33,37,40,25,,
340,1994-01-29,7,11,13,17,26,28,30,,
341,1994-02-05,6,11,14,17,19,40,30,,
342,1994-02-12,1,7,10,12,23,39,5,,
343,1994-02-19,1,4,24,30,35,36,8,,
344,1994-02-26,7,9,10,28,34,40,15,,
345,1994-03-05,1,4,5,21,27,37,26,,
346,1994-03-12,11,13,17,18,32,36,37,,
347,1994-03-19,6,10,19,25,30,38,31,,
348,1994-03-26,1,7,8,20,34,40,35,,
349,1994-04-02,4,8,32,34,37,38,2,,
350,1994-04-09,6,13,22,25,28,33,27,,
351,1994-04-16,2,7,22,25,33,34,32,,
352,1994-04-23,3,7,9,17,32,33,28,,
353,1994-04-30,7,28,29,30,32,37,31,,
354,1994-05-07,5,6,18,22,30,34,3,,
355,1994-05-14,8,19,20,24,35,39,1,,
356,1994-05-21,1,8,14,33,37,38,11,,
357,1994-05-28,17,21,33,35,37,39,32,,
358,1994-06-04,6,19,25,29,31,33,22,,
359,1994-06-11,4,9,22,32,35,38,25,,
360,1994-06-18,2,24,29,31,35,37,22,,
361,1994-06-25,1,9,10,23,24,30,6,,
362,1994-07-02,10,11,14,23,24,31,29,,
363,1994-07-09,9,15,18,19,31,39,40,,
364,1994-07-16,1,7,20,28,30,38,2,,
365,1994-07-23,7,21,25,26,36,39,34,,
366,1994-07-30,17,18,23,30,39,40,15,,
367,1994-08-06,9,10,12,14,22,23,27,,
368,1994-08-13,5,7,12,28,33,34,22,,
369,1994-08-20,4,10,12,23,25,35,40,,
370,1994-08-27,11,14,18,22,26,38,25,,
371,1994-09-03,3,10,14,21,24,32,5,,
372,1994-09-10,6,7,9,22,25,36,10,,
373,1994-09-17,7,9,30,31,38,40,34,,
374,1994-09-24,9,20,22,25,30,39,31,,
375,1994-10-01,2,6,7,16,21,40,9,,
376,1994-10-08,2,14,18,24,26,38,3,,
377,1994-10-15,1,14,16,25,37,39,20,,
378,1994-10-22,14,17,28,32,35,39,29,,
379,1994-10-29,23,25,26,27,34,35,22,,
380,1994-11-05,10,11,24,27,32,40,8,,
381,1994-11-12,8,10,12,21,22,26,11,,
382,1994-11-19,5,21,28,34,35,36,23,,
383,1994-11-26,5,12,16,19,24,27,26,,
384,1994-12-03,7,8,10,16,17,40,31,,
385,1994-12-10,9,17,21,27,35,36,5,,
386,1994-12-17,1,8,12,22,30,39,24,,
387,1994-12-24,16,17,23,30,32,38,29,,
388,1994-12-31,16,19,24,27,31,39,8,,
389,1995-01-07,1,7,15,21,31,37,40,,
390,1995-01-14,19,21,22,34,36,39,38,,
391,1995-01-21,1,21,22,24,33,40,25,,
392,1995-01-28,5,8,15,23,33,37,16,,
393,1995-02-04,1,21,22,28,31,40,35,,
394,1995-02-11,8,15,19,24,31,40,17,,
395,1995-02-18,3,4,20,25,26,37,10,,
396,1995-02-25,7,11,26,29,31,37,9,,
397,1995-03-04,7,8,9,13,21,32,39,,
398,1995-03-11,2,4,12,17,22,25,15,,
399,1995-03-18,17,20,22,31,36,38,10,,
400,1995-03-25,4,14,22,32,36,39,27,,
401,1995-04-01,2,3,15,16,22,39,8,,
402,1995-04-08,5,6,11,17,31,34,21,,
403,1995-04-15,4,5,13,15,16,21,34,,
404,1995-04-22,2,3,21,23,29,33,34,,
405,1995-04-29,2,3,12,15,18,26,8,,
406,1995-05-06,4,24,26,30,33,37,2,,
407,1995-05-13,4,18,27,28,30,39,24,,
408,1995-05-20,2,3,13,22,25,35,11,,
409,1995-05-27,7,9,11,17,18,28,5,,
410,1995-06-03,8,21,23,28,30,32,35,,
411,1995-06-10,2,6,10,21,31,35,5,,
412,1995-06-17,5,17,18,19,31,36,30,,
413,1995-06-24,1,3,5,26,27,35,7,,
414,1995-07-01,4,14,20,24,27,31,18,,
415,1995-07-08,7,10,17,22,34,38,32,,
416,1995-07-15,5,6,7,8,15,22,14,,
417,1995-07-22,5,14,18,20,30,31,27,,
418,1995-07-29,9,19,22,28,32,34,6,,
419,1995-08-05,6,8,16,20,23,25,17,,
420,1995-08-12,3,20,25,36,37,38,21,,
421,1995-08-19,2,7,10,30,33,39,6,,
422,1995-08-26,1,3,12,16,26,40,19,,
423,1995-09-02,4,13,14,16,19,22,5,,
424,1995-09-09,4,9,16,24,28,33,36,,
425,1995-09-16,4,13,21,24,28,38,25,,
426,1995-09-23,9,12,19,21,37,40,36,,
427,1995-09-30,2,5,14,29,39,40,24,,
428,1995-10-07,1,4,21,22,28,30,27,,
429,1995-10-14,1,4,11,15,19,24,5,,
430,1995-10-21,3,12,13,19,24,28,39,,
431,1995-10-28,4,7,12,14,35,38,23,,
432,1995-11-04,5,26,29,35,38,39,17,,
433,1995-11-11,1,7,15,20,37,38,18,,
434,1995-11-18,5,15,19,27,29,33,21,,
435,1995-11-25,11,19,20,24,33,35,16,,
436,1995-12-02,15,20,25,29,33,38,17,,
437,1995-12-09,1,5,7,18,20,40,8,,
438,1995-12-16,9,15,23,28,33,34,29,,
439,1995-12-23,8,12,23,25,29,30,39,,
440,1995-12-30,1,8,9,19,22,30,23,,
441,1996-01-06,2,14,16,22,23,34,28,,
442,1996-01-13,1,11,22,31,33,34,3,,
443,1996-01-20,8,20,22,25,32,34,18,,
444,1996-01-27,6,8,13,15,38,39,19,,
445,1996-02-03,5,12,13,32,33,38,2,,
446,1996-02-10,5,10,19,20,27,30,33,,
447,1996-02-17,7,10,15,23,24,27,37,,
448,1996-02-24,1,5,22,25,28,30,2,,
449,1996-03-02,7,21,26,29,36,37,12,,
450,1996-03-09,3,11,16,28,30,40,2,,
451,1996-03-16,6,13,18,20,22,24,40,,
452,1996-03-23,12,22,25,28,34,40,11,,
453,1996-03-30,5,14,20,36,39,40,29,,
454,1996-04-06,5,11,15,18,24,29,40,,
455,1996-04-13,5,11,23,29,35,39,19,,
456,1996-04-20,7,11,15,17,31,33,2,,
457,1996-04-27,6,12,15,19,25,29,31,,
458,1996-05-04,8,9,13,20,23,36,38,,
459,1996-05-11,4,13,14,25,26,37,35,,
460,1996-05-18,2,15,17,21,24,38,23,,
461,1996-05-25,3,4,6,12,26,32,1,,
462,1996-06-01,2,3,18,21,26,36,38,,
463,1996-06-08,3,5,9,14,19,22,39,,
464,1996-06-15,11,20,24,25,29,40,1,,
465,1996-06-22,4,6,11,12,19,20,13,,
466,1996-06-29,15,16,18,23,25,40,11,,
467,1996-07-06,1,9,24,26,33,36,17,,
468,1996-07-13,1,11,12,14,15,34,17,,
469,1996-07-20,5,9,15,22,24,36,39,,
470,1996-07-27,9,13,14,16,18,30,19,,
471,1996-08-03,8,14,18,20,28,31,12,,
472,1996-08-10,2,5,11,13,19,28,26,,
473,1996-08-17,5,9,10,15,21,30,6,,
474,1996-08-24,3,7,8,21,29,39,40,,
475,1996-08-31,6,11,13,27,28,29,35,,
476,1996-09-07,12,21,25,27,34,37,40,,
477,1996-09-14,2,3,11,12,26,39,4,,
478,1996-09-21,9,13,29,30,33,34,35,,
479,1996-09-28,9,10,12,15,21,26,17,,
480,1996-10-05,8,18,20,22,29,33,25,,
481,1996-10-12,7,14,16,24,28,40,29,,
482,1996-10-19,11,12,17,25,28,37,19,,
483,1996-10-26,12,14,25,27,31,33,19,,
484,1996-11-02,1,3,20,21,27,31,6,,
485,1996-11-09,1,9,10,23,29,34,32,,
486,1996-11-16,6,13,22,38,39,40,24,,
487,1996-11-23,4,5,7,12,15,39,13,,
488,1996-11-30,2,10,12,16,19,23,7,,
489,1996-12-07,1,6,20,26,27,30,14,,
490,1996-12-14,10,12,19,22,34,35,26,,
491,1996-12-21,8,13,15,23,24,32,6,,
492,1996-12-28,1,2,8,10,17,33,27,,
493,1997-01-04,4,11,14,26,32,38,16,,
494,1997-01-11,1,8,12,30,33,38,29,,
495,1997-01-18,1,7,20,22,24,30,14,,
496,1997-01-25,1,11,22,26,33,39,40,,
497,1997-02-01,8,12,15,19,26,30,36,,
498,1997-02-08,2,7,9,10,16,25,23,,
499,1997-02-15,2,11,14,16,19,40,33,,
500,1997-02-22,3,8,17,18,38,40,21,,
501,1997-03-01,4,10,23,25,26,35,11,,
502,1997-03-08,15,18,21,24,30,32,11,,
503,1997-03-15,14,18,21,30,34,36,5,,
504,1997-03-22,1,2,5,9,26,31,37,,
505,1997-03-29,7,10,29,32,33,39,23,,
506,1997-04-05,3,10,27,28,31,33,1,,
507,1997-04-12,11,14,19,33,34,35,25,,
508,1997-04-19,2,7,10,15,21,35,19,,
509,1997-04-26,15,16,32,36,38,39,5,,
510,1997-05-03,9,24,28,30,36,39,40,,
511,1997-05-10,1,3,4,25,35,40,10,,
512,1997-05-17,4,5,13,33,34,39,24,,
513,1997-05-24,9,16,20,21,30,31,13,,
514,1997-05-31,1,6,13,22,23,35,2,,
515,1997-06-07,9,19,20,27,32,35,7,,
516,1997-06-14,13,19,22,34,35,37,7,,
517,1997-06-21,2,3,7,9,13,15,22,,
518,1997-06-28,9,14,21,30,34,40,32,,
519,1997-07-05,3,6,14,17,31,33,10,,
520,1997-07-12,7,24,26,27,30,32,16,,
521,1997-07-19,4,5,9,12,20,37,33,,
522,1997-07-26,2,5,9,15,22,34,21,,
523,1997-08-02,6,10,19,20,37,39,13,,
524,1997-08-09,3,8,13,18,25,39,12,,
525,1997-08-16,1,6,10,19,31,38,27,,
